"Наименование субъекта","Населенный пункт/город/область","SO2","NOx","ЛОСНМ","CO","С","NH3","СН4","Всего","Источник  (АТ,ЖДТ)","Год"
"Ростовская область","Гуково",0.02,0.3,0.3,2.5,0.005,0.01,0.01,3.1,"АТ",2013
"Ростовская область","Донецк",0.01,0.2,0.3,2.3,0.003,0.01,0.01,2.9,"АТ",2013
"Ростовская область","Каменск",0.02,0.3,0.4,3.2,0.006,0.01,0.02,4.1,"АТ",2013
"Ростовская область","Новочеркасск",0.04,0.7,0.9,6.7,0.01,0.02,0.04,8.4,"АТ",2013
"Ростовская область","Новошахтинск",0.02,0.3,0.4,3.1,0.005,0.01,0.02,3.9,"АТ",2013
"Ростовская область","Таганрог",0.05,1,1.3,9.7,0.01,0.03,0.1,12.1,"АТ",2013
"Ростовская область","Усть-Донецк",0.01,0.2,0.2,1.5,0.003,0.004,0.01,1.8,"АТ",2013
"Ростовская область","Шахты",0.05,0.9,1.2,8.8,0.01,0.03,0.05,11,"АТ",2013
"Ростовская область","Батайск",0.04,0.7,0.9,6.7,0.01,0.02,0.04,8.4,"АТ",2013
"Ростовская область","Ростов-на-Дону",0.3,6.2,7.7,63.1,0.1,0.2,0.3,78,"АТ",2013
"Южный федеральный округ",,0.4,8.9,1,2.4,1,0.001,0.04,13.7,"ЖДТ",2014
"Республика Калмыкия",,0.0007,0.004,0.0005,0.0012,0.0005,1E-006,2E-005,0.01,"ЖДТ",2014
"Краснодарский край",,0.2,1.9,0.2,0.5,0.2,0.0003,0.01,3,"ЖДТ",2014
"Астраханская область",,0.05,2.5,0.3,0.7,0.3,0.0004,0.01,3.8,"ЖДТ",2014
"Волгоградская область",,0.05,3,0.4,0.8,0.4,0.0005,0.01,4.6,"ЖДТ",2014
"Ростовская область",,0.1,1.5,0.2,0.4,0.2,0.0002,0.01,2.3,"ЖДТ",2014
"Нижегородская область",,1.5,31.3,30,220.2,0.4,0.9,1.2,285.6,"АТ",2014
"Нижегородская область","Нижний Новгород",0.4,6.8,7.81,66.03,0.15,0.17,0.4,81.7,"АТ",2013
"Нижегородская область","Арзамас",0.02,0.4,0.5,3.7,0.01,0.01,0.02,4.7,"АТ",2013
"Нижегородская область","Балахна",0.02,0.3,0.4,2.8,0.01,0.01,0.02,3.5,"АТ",2013
"Нижегородская область","Бор",0.04,0.6,0.7,5.4,0.01,0.01,0.03,6.8,"АТ",2013
"Нижегородская область","Выкса",0.02,0.3,0.4,3,0.01,0.01,0.02,3.8,"АТ",2013
"Нижегородская область","Городец",0.022,0.4,0.4,3.4,0.007,0.009,0.019,4.3,"АТ",2013
"Нижегородская область","Дзержинск",0.05,1,1.2,8.8,0.02,0.03,,11,"АТ",2013
"Нижегородская область","Кстово",0.04,0.7,0.7,5.8,0.014,0.015,0.031,7.3,"АТ",2013
"Нижегородская область","Павлово",0.03,0.5,0.5,4.1,0.01,0.01,0.02,5.2,"АТ",2013
"Нижегородская область","Саров",0.01,0.1,0.1,1.1,0.002,0.004,0.01,1.4,"АТ",2013
"Республика Башкортостан",,2.6,49.6,45,342.5,0.9,1.2,1.8,443.6,"АТ",2014
